,Run 800 Meters; 40 sdhp 24/16 KB?s; 40 Walking Lunges with Kettlebells 24/16; 40 knees to elbows; Run 800 Meters
502,For Time; 600m Row; 100x Double Unders; 25x Wall Balls (20/14#); 50x Sit-ups; 25x Wall Balls; 100x Double Unders; 600m Row
503,"14min AMRAP; 30 Box Jumps, 24/20; 30 KBS, 1.5/1-pood; 30 Burpees; 30 TTB; 30 Deadlifts, 115/80; 30 CTB Pull-ups; 30 Wall Balls, 20/14; 30 Double Unders"
504,For Time:; 250m Row; 25x Sit-ups; 500m Row; 20x Sit-ups; 750m Row; ?15x Sit-ups
505,8min AMRAP; 10x Wall Balls (20/14#); 20x Double Unders
506,Three rounds for time of:; Run 200 Meters; 12 Alternating Single-Arm Dumbbell Snatches
507,"For time:; Row 500 Meters; When the clock reaches 4 minutes?; For time:; 30 Dumbbell Man-Makers; Note two separate times ? e.g., 1:34/4:20 (65 lb DBs)"
508,Complete as many rounds and reps as possible in 12 minutes of:; Row 250 Meters; 20 Wall Ball Shots
509,Five rounds for time of:; Run 300 Meters; 10 Strict Handstand Push-Ups or L-Seated Dumbbell Press; 10 Strict Pull-Ups
510,12 Min EMOM; Odd: 8 Goblet Squats Red/Yellow; Even: 3 Strict Pullups; 2 Min Rest?; 12 Min EMOM; Odd: 10 Front Rack Lunges (In Place) 95/65; Even: 20 Sit Ups
511,10 Min AMRAP; 10 Box Step Ups; 5 T2B; 2 Burpees
512,15 min AMRAP; 10 KB Sumo Deadlift High Pull Red/Yellow; 10 KB Push Press (5 Each Arm); 4 Wall Walks; *For KB Push Press do 5 on one side then switch arms and do 5 on the opposite arm.
513,"?Dirty Diane?; 400m Sprint/Row; -then-; 21-15-9; Deadlift (225,125); HSPU; -then-; 400m Sprint/Row"
514,"12 Min AMRAP; Up Ladder of 3 (3,6,9,12?..); Burpees; Squat Cleans 135/95; M1: 115/95; M2: 95/65"
515,4 Rounds; 20 KettleBell Swings Red/Yellow; 20 wall balls ? 20/14; 20 Double Unders
516,"7 Min AMRAP (Up Ladder of 3 reps); Goblet Squats Red/Yellow; Sit-Ups; *Reps increase by 3 (3,6,9?)"
517,"Teams of 2; 10 Clean and Jerks 135/95; 75 Box Jumps; 10 Clean and Jerks; 100 Push-Ups; 10 Clean and Jerks; 75 Box Jumps; 10 Clean and Jerks; 75 Burpees; One athlete works, while the other rests."
518,18 Min AMRAP; 12 Box jumps; 10 power clean @ 50% 1 RM; 8 push ups
519,12 Min EMOM; Odd: 8 Goblet Squats Red/Yellow; Even: 3 Strict Pullups; 2 Min Rest?; 12 Min EMOM; Odd: 10 Front Rack Lunges (In Place) 95/65; Even: 20 Sit Ups
520,3 Min AMRAP X 3; 10 Box Jumps; 8 Air Squats; 6 Sit-Ups; *1 Min Rest between rounds; 10 Myths About Olympic Weightlifting That Need to Stop
521,2 Minute AMRAP x 5; 1 Rope Climb; 2 Burpees; Thrusters 75/55; M1: 3 Pull-Ups/3 T2B; *1 Minute Rest in between Rounds; ** You will do thrusters for the remainder of the round after you complete the rope climb and burpees.; *** Score is amount of total thrusters completed
522,15 Min AMRAP; 3 Squat Cleans 135/95; 30 Double Unders; 10 Sit-ups; M1: 115/80; M2:95/65
523,15 min AMRAP; 10 KB Sumo Deadlift High Pull Red/Yellow; 10 KB Push Press (5 Each Arm); 4 Wall Walks; *For KB Push Press do 5 on one side then switch arms and do 5 on the opposite arm.
524,In teams of 3:; Row as many meters as possible in 15 minutes; * Switch partners ever whenever desired.; Worth 10 Mins of your time
525,4 Rounds; 20 KettleBell Swings Red/Yellow; 20 wall balls ? 20/14; 20 Double Unders
526,7 Min AMRAP; 2 Hand Release Burpees over Barbell; 2 Clean & Jerk 115/75lbs (Pro 155/105lbs); 4 Hand Release Burpees over Barbell; 4 Clean & Jerk; 6?.; Continues to go up by 2 reps until the 7 minutes is complete. Score is total reps
527,"Teams of 2; 10 Clean and Jerks 135/95; 75 Box Jumps; 10 Clean and Jerks; 100 Push-Ups; 10 Clean and Jerks; 75 Box Jumps; 10 Clean and Jerks; 75 Burpees; One athlete works, while the other rests."
528,"Workout of the Day; Every 4 minutes, for 32 minutes (8 sets):; Row 250 Meters; 15 Kettlebell Swings; 10 Dumbbell Push Press"
529,A.; Three sets of:; Strict Dumbbell Press x 8-10 reps @ 2011; Rest 45 seconds; Supine Ring Rows x 8-10 reps @ 2111; Rest 45 seconds; Prone Plank Hold x 45 seconds; Rest 45 seconds; B.; Complete as many rounds and reps as possible in 20 minutes of:; 6 Strict Handstand Push-Ups or L-Seated Dumbbell Presses; 12 Kettlebell Swings; 12 Box Jump-Overs
530,"A.; Three rounds of:; Back Squat x 10 reps @ 3011; Rest 60 seconds; Dumbbell Bench Press x 10 reps @ 2011; Rest 60 seconds; V-Ups x 20 reps; Rest 60 seconds; B.; Every minute, on the minute, for 6 minutes:; 6 Thrusters; 6 Burpees Over the Barbell; If you fail to complete your round within the 60 seconds, continue and finish it in the following 60 second period, then wait until the top of the next minute to jump back in on schedule"
531,"A.; Complete as many rounds and reps as possible in 6 minutes of:; 10 Pull-Ups; 15 Push Press (115/75 lbs); 20 Kettlebell Swings (24/16 kg); Rest 4 minutes, and when the clock reaches 10:00 complete the following?; B.; Complete as many reps as possible in 6 minutes of:; Row 1000 Meters; Max Reps of Burpees Over the Erg; Rest 4 minutes, and when the clock reaches 20:00 complete the following?; C.; Complete as many reps as possible in 6 minutes of:; Run 800 Meters; 20 Toes to Bar; Max Reps of Push-Ups"
532,"A.; Every minute, on the minute, for 20 minutes (5 sets of each):; Minute 1 ? Banded Good Mornings x 12 reps @ 20X1; Minute 2 ? Tempo Goblet Squats x 6 reps @ 32X1; Minute 3 ? Kettlebell Swings x 12-15 reps; Minute 4 ? Prone Plank Hold x 45 seconds; B.; For time:; Row 500 Meters; When the clock reaches 4 minutes?; For time:; 30 Dumbbell Man-Makers; Note two separate times ? e.g., 1:34/4:20 (65 lb DBs"
533,"A.; Five sets of:; Front Squat x 6 reps @ 2011; (use more weight than you used on April 8, 2015.); Rest 60 seconds; Double-Kettlebell Overhead Carry x 100 Meters; Rest 45 seconds; B.; Complete as many rounds and reps as possible in 12 minutes of:; Row 250 Meters; 20 Wall Ball Shots"
534,"In teams of three, complete five rounds each, for max reps, of:; Push-Ups; 100 Meter Farmer?s Carry; Wall Ball Shots; Only one partner may occupy each station; partners rotate as a group as soon as their teammate complete the 100 meter farmer?s carry.; Time cap: 25 minutes"
535,A.; Three sets of:; Romanian Deadlift x 6-8 reps @ 3011; Rest 60 seconds; Single-Leg Hip Bridge x 10-12 reps each side @ 2011; Rest 60 seconds; Supine Ring Row x 10-12 reps @ 2111; Rest 60 seconds; B.; Three rounds for time of:; Run 200 Meters; 12 Alternating Single-Arm Dumbbell Snatches; C.; Three sets of:; Single-Arm Dumbbell Row x 8 reps @ 2111; Rest 60 seconds; Face-Up Chinese Planks x 45-60 seconds; Rest 60 seconds
536,"A.; Every 4 minutes, for 24 minutes (6 sets), for times:; Run 400 Meters; 10-12 Burpee Box Jump-Overs (24?/20?); B.; 10-15 Minutes of Focused Mobility Work ? identify greatest areas of need and work with coaches on mobility work that will best address those areas"
537,A.; Three sets of:; Deadlift x 6-8 reps @ 2111; Rest 45 seconds; Dumbbell Bench Press x 10-12 reps @ 20X1; Rest 45 seconds; Alternating Reverse Lunges with DBs x 20 steps; Rest 45 seconds; Bottom?s Up Kettlebell Carry x 25 yards each arm; Rest 45 seconds; B.; For time:; Row 1000 Meters; 60 Kettlebell Swings; 30 Goblet Squats; Run 400 Meters
538,Workout of the Day; For time:; Row 1000 Meter; 30 Pull-Ups; 40 Burpees; 50 Wall Ball Shots; 800 Meter Run
539,"Workout of the Day; A.; Complete as many rounds and reps as possible in 8 minutes of:; 8 Strict Handstand Push-Ups or L-Seated Dumbbell Presses; 8 Strict Supinated-Grip Pull-Ups; Rest 4 minutes, and then?; B.; Complete as many rounds and reps as possible in 6 minutes of:; 15 Ring Push-Ups; 15 Box Jump-Overs (24?/20?); Rest 4 minutes, and then?; C.; Complete as many calories as possible in 4 minutes of:; Assault Bike or Concept 2 Rower"
540,Workout of the Day; A.; Three sets of:; Goblet Squats x 8-10 reps @ 30X1; Rest 60 seconds; Ring Rows x 10-12 reps @ 2111; Rest 60 seconds; Nose-to-Wall Handstand Hold x 45-60 seconds; Rest 60 seconds; Double-Under Practice x 60 seconds; Rest 60 seconds; B.; Four rounds for time of:; Run 200 Meters; 20 Wall Ball Shots; 10 Strict Pull-Ups
541,"Workout of the Day; With a continuous running clock, perform the following:; 0:00 ? 1000 Meter Row; 5:00 ? 50 Burpees; 10:00 ? 30 Strict Pull-Ups; 15:00 ? 50 Wall Ball Shots; 20:00 ? 30 Box Jump Overs; 25:00 ? 800 Meter Run"
542,"A.; Three sets of:; Front Squat x 6-8 reps @ 30X1; Rest 60 seconds; Single-Arm Trap 3 Raise x 8-10 reps each arm @ 3010; Rest 60 seconds; Double-Under Practice x 60 seconds; Rest 60 seconds; B.; In teams of two, alternate every 10 reps and complete as many rounds and reps as possible in 20 minutes of:; 20 Thrusters; 20 Pull-Ups; 20 Burpees"
543,A.; Three sets of:; Bench Press x 8-10 reps @ 2011; Rest 60 seconds; Supine Ring Row x 8-10 reps @ 2111; Rest 60 seconds; Bottom?s Up Kettlebell Squat x 5 reps each arm; Rest 60 seconds; Side Plank x 30-45 seconds each side; Rest 60 seconds; B.; For time:; Row 1000 Meters; immediately followed by?; Five rounds of:; 20 Wall Ball Shots (20/14 lbs); 10 Ring Dips
544,Workout of the Day; Four sets for times of:; 500 Meter Row; 25 KB Swings; 5 Wall Climbs; Rest 4-5 minutes
545,"A.; Every 2 minutes, for 20 minutes (5 sets of each):; Station 1 ? Romanian Deadlift x 8 reps @ 3111; Station 2 ? Stationary or Ring Dips x 15 reps @ 2111; (use assistance if you are unable to keep this tempo for the full 15 reps); B.; In teams of two, alternate sets to complete four each of:; 20 Russian Kettlebell Swings; Run 400 Meters; C.; Three sets of:; Supine Ring Row x 10 reps @ 2111; Rest 30 seconds; Hollow Holds x 40-60 seconds; Rest 30 seconds"
546,"Workout of the Day; A.; Two Sets:; Kettlebell Goat Bag Swings x 10-15; Rest 30 seconds; Kneeling Kettlebell Halo x 10 each direction; Rest 30 seconds; B.; In teams of 5, relay through to complete 4 sets each of:; 500 Meter Row; 30 Kettlebell Swings; 15 Pull-Ups; 15 Wall Ball Shots; *Only one partner may be working at a time so you can?t move to the next station until the person in front of you has completed all the reps"
547,"Workout of the Day; A little holiday treat, Invictus style. Perform the movements to the tune of ?12 Days of Christmas?; 1 ? 100 Meter Run; 2 ? Burpee Box Jump Overs; 3 ? Push-Ups; 4 ? Toes to Bar; 5 ? Burpees; 6 ? Dumbbell Grounds to Overhead; 7 ? Push-ups; 8 ? JumpingLunges; 9 ? Kettlebell Swings; 10 ? Shoulder to Overhead; 11 ? Goblet Squats; 12 ? Pull-Ups"
548,"In teams of two, partners alternate task to complete 10 rounds of:; 10 Toes to Bar; 10 Burpee Box Jump Overs; 300 Meter Run"
549,"A.; Every 3 minutes, for 15 minutes (5 sets):; Pause Front Squats x 4-6 reps @ 31X1; B.; Three sets of:; Against a 3-minute running clock, complete?; Row 500 Meters; Dumbbell Ground to Overhead x Max reps; Rest 3 minutes between sets"
550,Workout of the Day; Five sets of:; Row 500 Meters; 25 Wall Ball Shots; Rest 3 minutes
551,"In teams of two, complete the following as quickly as possible, partitioning the reps as you see fit:; Row 2000 Meters; 50 Strict Pull-Ups (or Assisted Pull-Ups); 100 Kettlebell Swings; 100 Burpee Box Jump-Overs; 100 Kettlebell Swings; 50 Strict Pull-Ups (or Assisted Pull-Ups); Row 2000 Meters"
552,"A.; Every 3 minutes, for 12 minutes (4 sets):; Back Squat x 10 reps; (if you make all 10 reps, add weight the next set until you feel extremely challenged to make all 10 reps); Rest 20-30 seconds; Prone Plank Hold x 60 seconds; B.; Three rounds for time of:; 20 Alternating Reverse Lunges with a Kettlebell; 20 Russian Kettlebell Swings; 20 V-Ups"
553,"In teams of two, complete the following for time:; 1600 Meter Med-Ball Relay Run; 100 Partnered Burpee Wall Ball Shots; (you must perform a burpee immediately after throwing the ball and before catching it from your partner?s toss); 200 Push-Ups; 300 Double-Unders; 400 Meter Walking Lunge Relay with Med-Ball; (only the partner with the ball may lunge the team forward"
554,Workout of the Day; A.; Five sets of:; Goblet Squat x 10-12 reps @ 3010; Rest 45 seconds; Single-Arm Kettlebell Row x 12-15 reps @ 1010; Rest 45 seconds; Kettlebell Swing x 20 reps; Rest 45 seconds; Push-Ups x 10-12/15-20 reps @ 2011; Rest 45 seconds
555,"A.; Every 10 minutes, for 40 minutes (4 sets), complete the following as quickly as possible:; Run 800 Meters; 15 Strict Handstand Push-Ups or L-Seated DB Presses; 15 Strict Pull-Ups; 15 Strict Ring Dips; B.; Every minute, on the minute, for 6 minutes:; Minute 1 ? Lean Away Pull-Ups x 3-4 reps @ 4111; Minute 2 ? Bottom?s Up Kettlebell Carry x 25 yards each arm"
556,"Workout of the Day; A.; In 6 minutes, complete the following:; Run 600 Meters; Row as many meters as possible; Rest exactly 4 minutes, and then . . .; B.; Complete as many rounds and reps as possible in 6 minutes of:; 5 Pull-Ups; 15 Air Squats; Rest exactly 4 minutes, and then . . .; C.; Complete as many rounds and reps as possible in 6 minutes of:; 10 Hand-Release Push-Ups; 10 Box Jumps; Rest exactly 4 minutes, and then . . .; D.; In 6 minutes, complete the following:; Run 600 Meters; Row as many meters as possible"
557,A.; Four sets of:; Back Squat x 6-8 reps @ 3011; Rest 45 seconds; Supine Ring Row x 8-10 reps @ 2111; Rest 45 seconds; Prone Plank Hold x 45 seconds; Rest 45 seconds; B.; Three rounds for time of:; 10 Goblet Squats; 15 Box Jump or Step-Overs; 20 Alternating Reverse Lunges with Kettlebell
558,"Workout of the Day; ?Super Bowl Eve?; Four 5-minute quarters for max reps in teams of three of:; 3 Burpees; 6 Dumbbell Push Press; 9 Wall Ball Shots; Rest 3 minutes between quarters.; Only one team member may be working at any one time, and that team member must cycle through each exercise before the next teammate may begin"
559,Workout of the Day; A.; Four sets of:; Back Squats x 8-10 reps @ 30X0; Rest 45 seconds; Single-Leg Hip Bridge x 10 reps each leg @ 2011; Rest 45 seconds; Single-Arm Dumbbell Row x 10-12 reps @ 2111; Rest 45 seconds; B.; Three sets of:; Row 250 Meters; Man-Makers x 5 reps; Rest 90 seconds
560,"A.; Three sets, not for time, of:; Kettlebell Halo?s x 5 reps each direction; Bottom?s Up Kettlebell Walk x 100? each arm; Goblet Squat x 3-5 reps @ 3311; B.; In teams of two, alternate sets to complete as many as possible in 20 minutes of:; 500 Meter Row; Farmer?s Carry x 100 meters; C.; Optional Finisher; For time:; 500 Meter Row"
561,Workout of the Day; A.; Four sets of:; Kettlbell Swings x 20 reps; Rest 45 seconds; Dumbbell Bench Press x 8-10 reps @ 20X1; Rest 45 seconds; Broad Jump x 8-10 reps; Rest 45 seconds; Single-Arm Dumbbell Row x 8-10 reps each arm @ 2111; Rest 45 seconds; B.; Five sets of:; Dumbbell Push Press x 10 reps; Ball Slams x 10 reps; Rest 60 seconds
562,"Workout of the Day; A.; Four sets of:; Back Squat x 6-8 reps; Rest 20 seconds; Kettlebell Swings x 15 reps; Rest 60 seconds; Pull-Ups x 6-8 reps @ 2110; Rest 60 seconds; B.; In teams of four, relay to complete as many rounds and reps as possible in 12 minutes of:; 9 Burpee Box Jump-Overs"
563,Workout of the Day; A.; Four sets of:; Dumbbell Bench Press x 8-10 reps @ 2011; Rest 45 seconds; Ring Rows x 10-12 reps @ 2111; Rest 45 seconds; Side Plank x 45 seconds each side; Rest 45 seconds; B.; Five sets of:; Row 250 Meters; Push-Ups x 20/15 reps; Rest 90 seconds
564,"A.; Four sets of:; Back Squat x 8-10 reps; Rest 20 seconds; Russian Step-Ups x 8-10 reps each leg; Rest 60 seconds; Turkish Get-Up x 1-2 reps each arm; Rest 60 seconds; B.; In teams of three, alternate sets to complete as many rounds and reps as possible in 12 minutes of:; 3 Push Press; 6 Box Jump-Overs; 9 Kettlebell Swings"
565,"Today is Bring A Friend Day at Invictus!!!***; Workout of the Day; In teams of three, with only one partner working at a time, complete the following as quickly as possible:; 2000 Meter Relay Row; 150 Burpees; 200 Kettlebell Swings; 250 Anchored Sit-Ups; 300 Air Squats"
566,A.; Four sets of:; Front Squats x 6-8 reps; Rest 10 seconds; Farmer?s Carry x 100 Meters; Rest 60 seconds; Double-Under Practice x 60 seconds; Rest 60 seconds; B.; Complete as many rounds and reps as possible in 6 minutes of:; 6 Burpees; 6 Strict Pull-Ups; 12 Wall Ball Shots
567,"A.; Three sets of:; Back Squat x 8-10 reps; Rest 60 seconds; Supine Ring Rows x 8-10 reps @ 2111; Rest 60 seconds; Wall Climbs x 3-5 reps; Rest 60 seconds; B.; Two sets of:; Complete as many rounds and reps as possible in 3 minutes of:; 10 Dumbbell Ground to Overhead; 10 Dumbbell Front Squat; 10 Burpees; Rest 3 minutes between sets, and pick up where you left off"
568,A.; Four sets of:; Pull-Ups x 6-8 reps @ 2110; Rest 45 seconds; Dumbbell Bench Press x 10-12 reps; Rest 45 seconds; Partnered Leg Tosses x 12-15 reps; Rest 45 seconds; B.; Three sets for max reps/calories:; 60 seconds Row for calories; 30 seconds Rest; 60 seconds Kettlebell Swings; 30 seconds Rest; 60 seconds Renegade Rows; 30 seconds Rest
569,A.; Three sets of:; Kneeling Halos x 3-5 reps to each direction; Rest 60 seconds; Back Squat x 8-10 reps; Rest 60 seconds; Russian Step-Ups x 8-10 reps each leg; Rest 60 seconds; B.; Complete as many rounds and reps as possible in 8 minutes of:; 12 Kettlebell Swings; 6 Strict Pull-Ups
570,"Workout of the Day; Partners alternate whole rounds for time and complete four rounds each of:; Row 250 Meters; Pull-Ups x 10 reps; 95/65 lb. Thrusters x 10 reps; Run 300 Meters; (Partner A completes 250 meters, 10 pull-ups, 10 thrusters, and a 300 meter run in 3 minutes while Partner B rests; Partner B starts on the row as soon as Partner A completes the 300 meter run"
571,"A.; Five sets of:; Barbell or Dumbbell Shoulder Press x 6-8 reps; Rest 45 seconds; Supine Single-Leg Hip Bridge x 6-8 reps each leg @ 2011; Rest 45 seconds; B.; Complete as many rounds and reps as possible in 9 minutes of:; 3 Strict Handstand Push-Ups or L-Seated DB Presses; 6 Ring or Stationary Dips; 9 Push-Ups; C.; Every minute, on the minute, for 6 minutes:; Minute 1 ? 8-10 Supine Ring Rows @ 2111; Minute 2 ? 45 Second Prone Plank Hold"
572,"A.; Three sets of:; Front Squat x 6-8 reps; Rest 10 seconds; Kettlebell Swings x 15-20 reps; Rest 60 seconds; Turkish Get-Up x 1-2 reps each arm; Rest 60 seconds; B.; In teams of two, alternate every 5 reps in order to complete as many reps as possible in 5 minutes of:; Dumbbell Ground to Overhead; Rest 3 minutes; In teams of two, alternate every 15 reps in order to complete as many reps as possible in 5 minutes of:; Wall Ball Shots; C.; Every two minutes, for a 6 minutes:; Single Arm Row x 10-12 reps each arm @ 2110"
573,Rest Day
574,"Workout of the Day; Four sets of:; Back Squat x 8-10 reps @ 30X0; Rest 45 seconds; Pull-Ups x 8-10 reps @ 21X0; Rest 45 seconds; Hollow Rocks or Hollow Hold x 30-45 seconds; Rest 45 seconds;; and then,; Complete as many rounds and reps as possible in 6 minutes of:; Burpees x 5 reps; Bear Crawl x 20 yards; Burpees x 5 reps; Walking Lunge x 20 yards"
575,Workout of the Day; A.; Five sets of:; Complete as many rounds and reps as possible in 3 minutes of:; 3 Pull-Ups; 6 Burpees; 9 Kettlebell Swings; Rest 3 minutes between sets
576,"Workout of the Day; A.; Three sets of:; Barbell or Dumbbell Bench Press x 8-10 reps @ 20X1; Rest 60 seconds; Supine Ring Rows x 10-12 reps @ 2111; Rest 60 seconds; Side Planks x 30 seconds each side; Rest 60 seconds; B.; Complete as many rounds and reps as possible in 5 minutes of:; 5 Burpees; 5 Pull-Ups; Rest exactly 5 minutes, and then . . .; Complete as many rounds and reps as possible in 5 minutes of:; 3 Man-Makers; 100 Meter Run"
577,"Workout of the Day; ?Beach Muscles?; In teams of two, with only one partner working at a time, complete the following for time:; 1600 Meter Relay Run (alternating 400 meters); immediately followed by?; 20 rounds (partners alternating full rounds) of?; 4 Strict Supinated-Grip Pull-Ups; 8 Ring Dips; 12 Push-Ups; 16 Air Squats; immediately followed by?; 1600 Meter Relay Run (alternating 400 meters"
578,"Workout of the Day; A.; Four sets of:; Front-Foot Elevated Split Squat x 6-8 each leg; Rest 60 seconds; Ring Push-Ups x 8-10 reps; Rest 60 seconds; B.; Four sets for max reps against a 3-minute running clock of:; Run 300 Meters; Max Reps Dumbbell Man-Makers (55/35 lbs); (push-up, power clean, push press); Rest 2 minutes"
579,"Workout of the Day; A.; Four sets of:; Seated Overhead Press with Dumbbells x 10-12 reps @ 2011; Rest 45-60 seconds; Strict Supinated-Grip Pull-Ups x 8-10 reps; Rest 45-60 seconds; Bent-Over Barbell Rows x 6-8 reps; Rest 45-60 seconds; Band Pull-Aparts x 20 reps @ 2011; Rest 45-60 seconds; B.; Complete as many reps as possible in 6 minutes of:; Dumbbell Man-Makers; (Push-Up, Power Clean, Push Press"
580,"Workout of the Day; A.; Every 6 minutes, for 30 minutes (5 sets):; Run 400 Meters; 10 Dumbbell Thrusters; 15 Push-Ups; 20 Walking Lunges with Dumbbells; B.; Three sets of:; Supine Ring Rows x 10-12 reps @ 2111; Rest 60 seconds; Hollow Body Holds x 60 seconds; Rest 60 seconds"
581,Workout of the Day; A.; Four sets of:; Front Squat x 8-10 reps @ 20X1; Rest 45 seconds; Supine Ring Rows x 10-12 reps @ 2111; Rest 45 seconds; Plank from Elbows x 45 seconds; Rest 45 seconds; B.; For time:; 30 Kettlebell Swings; 15 Burpees; 24 Kettlebell Swings; 12 Burpees; 18 Kettlebell Swings; 9 Burpees
582,"In teams of two, with only one partner working at a time, partners alternate whole rounds to complete?; As many rounds and reps as possible in 10 minutes of:; 10 Push Press (115/75 lbs); 5 Burpees Over the Barbell; Rest 5 minutes, and then,; As many rounds and reps as possible in 10 minutes of:; Row 150 Meters; 15 Russian Kettlebell Swings (heavy"
583,"Reminder ? Today is bring a friend day!; Workout of the Day; In teams of three, complete as many rounds and reps as possible in 24 minutes of:; 30 Kettlebell Swings (or Air Squats); Burpees x 20 reps; Dumbbell Alternating Reverse Lunges x 10 reps each leg; Teams must rotate stations as a team, with only one team member working at each station. You cannot begin working on your next task until all team members have completed their station tasks and are ready to move one. Thus, you must work as a team, communicate effectively and motivate your teammates to keep moving throughout the 24 minutes"
584,"A.; Every 2 minutes, for 12 minutes:; Minutes 1-2 & 7-8: L-Pull-Ups x 10-12 reps or L-Pull-Ups from Towels x 6-8 reps; Minutes 3-4 & 9-10: L-Sit Hold x 45 seconds accumulated time; Minutes 5-6 & 11-12: Handstand Walk x 10 meters; (use partner assist, Handstand Wall Runs or a 60-seconds Nose-to-Wall Handstand Hold if you don?t have handstand walks yet); B.; Complete as many rounds and reps as possible in 15 minutes of:; Run 600 Meters; 15 Strict Pull-Ups (ladies ? perform 10 strict); 15 Kettlebell Swings"
585,CrossFit Games Open Event 16.4?; Complete as many rounds and reps as possible in 13 minutes of:; 55 Deadlifts (225/155 lbs); 55 Wall Ball Shots (20 lbs to 10?/14 lbs to 9?); 55 Calorie Row; 55 Handstand Push-Ups; OR; ?CrossFit Games Open Event 16.4 ? SCALED?; Complete as many rounds and reps as possible in 13 minutes of:; 55 Deadlifts (135/95 lbs); 55 Wall Ball Shots (20 lbs to 9?/10 lbs to 9?); 55 Calorie Row; 55 Handstand Push-Ups
